Region,Year,Value,,Unit,Source,Updated at,Updated by
BE,2021,1.2996,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,2025,1.386,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,2030,1.4939,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,2035,1.6019,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,2040,1.7099,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,2045,1.8179,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,2050,1.9258,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,2055,1.9258,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,2060,1.9258,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,2018,20.4876,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,2020,20.4876,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,2021,20.3504,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,2025,19.8018,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,2030,19.116,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,2035,18.4301,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,2040,17.7443,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,2045,17.0585,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,2050,16.3727,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,2055,16.3727,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,2060,16.3727,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,2018,0,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,2020,0,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,2021,0,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,2025,0,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,2030,0,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,2035,0,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,2040,0,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,2045,0,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,2050,0,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,2055,0,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,2060,0,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,2018,60.4584,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,2020,60.4584,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,2021,60.4283,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,2025,60.3077,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,2030,60.157,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,2035,60.0063,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,2040,59.8556,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,2045,59.7049,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,2050,59.5542,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,2055,59.5542,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,2060,59.5542,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,2018,368.7264,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,2020,368.7264,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,2021,368.3304,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,2025,366.7462,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,2030,364.766,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,2035,362.7858,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,2040,360.8056,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,2045,358.8255,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,2050,356.8453,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,2055,356.8453,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,2060,356.8453,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,2018,109.9944,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,2020,109.9944,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,2021,108.3422,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,2025,101.7336,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,2030,93.4728,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,2035,85.212,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,2040,76.9511,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,2045,68.6903,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,2050,60.4295,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,2055,60.4295,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,2060,60.4295,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,2018,19.656,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,2020,19.656,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,2021,19.4048,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,2025,18.3998,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,2030,17.1435,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,2035,15.8873,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,2040,14.631,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,2045,13.3748,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,2050,12.1186,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,2055,12.1186,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,2060,12.1186,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,2018,1.9188,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,2020,1.9188,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,2021,2.748,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,2025,6.0649,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,2030,10.2111,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,2035,14.3572,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,2040,18.5033,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,2045,22.6495,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,2050,26.7956,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,2055,26.7956,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,2060,26.7956,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,2018,120.6,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,2020,120.6,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,2021,119.6503,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,2025,115.8515,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,2030,111.1031,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,2035,106.3546,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,2040,101.6062,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,2045,96.8577,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,2050,92.1093,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,2055,92.1093,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,2060,92.1093,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,2018,91.44,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,2020,91.44,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,2021,96.0257,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,2025,114.3687,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,2030,137.2974,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,2035,160.2262,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,2040,183.1549,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,2045,206.0836,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,2050,229.0123,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,2055,229.0123,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,2060,229.0123,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,2018,3.5,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,2020,3.5,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,2021,3.59,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,2025,3.95,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,2030,4.4,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,2035,4.85,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,2040,5.3,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,2045,5.75,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,2050,6.2,,PJ,European Commission: District heating and cooling in the European Union + Fallahnejad et al. 2024: District heating potential in the EU-27 (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
