Technology,Value
HLI_Gas_Boiler,31.536
HLI_Geothermal,31.536
HLI_Geothermal,31.536
HLI_H2_Boiler,31.536
HLI_H2_Boiler,31.536
HLI_Hardcoal,31.536
HLI_Hardcoal,31.536
HLI_Lignite,31.536
HLI_Lignite,31.536
HLI_Oil_Boiler,31.536
HLI_Oil_Boiler,31.536
HLI_Solar_Thermal,31.536
HLI_Solar_Thermal,31.536
HLR_Biomass,31.536
HLR_Biomass,31.536
HLR_Convert_DH,1.0
HLR_Convert_DH,1.0
HLR_Direct_Electric,31.536
HLR_Direct_Electric,31.536
HLR_Gas_Boiler,31.536
HLR_Gas_Boiler,31.536
HLR_Geothermal,31.536
HLR_Geothermal,31.536
HLR_H2_Boiler,31.536
HLR_H2_Boiler,31.536
HLR_Hardcoal,31.536
HLR_Hardcoal,31.536
HLR_Heatpump_Aerial,31.536
HLR_Heatpump_Aerial,31.536
HLR_Heatpump_Ground,31.536
HLR_Heatpump_Ground,31.536
HLR_Lignite,31.536
HLR_Lignite,31.536
HLR_Oil_Boiler,31.536
HLR_Oil_Boiler,31.536
HLR_Solar_Thermal,31.536
HLR_Solar_Thermal,31.536
HMI_Biomass,31.536
HMI_Biomass,31.536
HMI_Gas,31.536
HMI_Gas,31.536
HMI_Gas_CCS,31.536
HMI_Gas_CCS,31.536
HMI_H2,31.536
HMI_H2,31.536
HMI_HardCoal,31.536
HMI_HardCoal,31.536
HMI_HardCoal_CCS,31.536
HMI_HardCoal_CCS,31.536
HMI_Oil,31.536
HMI_Oil,31.536
HMI_Steam_Electric,31.536
HMI_Steam_Electric,31.536
P_Biomass,31.536
P_Biomass,31.536
P_Biomass_CCS,31.536
P_Biomass_CCS,31.536
P_Coal_Hardcoal,31.536
P_Coal_Hardcoal,31.536
P_Coal_Hardcoal_CCS,31.536
P_Coal_Hardcoal_CCS,31.536
P_Coal_Lignite,31.536
P_Coal_Lignite,31.536
P_Coal_Lignite_CCS,31.536
P_Coal_Lignite_CCS,31.536
P_Gas_CCGT,31.536
P_Gas_CCGT,31.536
P_Gas_CCS,31.536
P_Gas_CCS,31.536
P_Gas_Engines,31.536
P_Gas_Engines,31.536
P_Gas_OCGT,31.536
P_Gas_OCGT,31.536
P_H2_OCGT,31.536
P_H2_OCGT,31.536
P_Nuclear,31.536
P_Nuclear,31.536
P_Oil,31.536
P_Oil,31.536
PSNG_Air_Bio,1.0
PSNG_Air_Bio,1.0
PSNG_Air_Conv,1.0
PSNG_Air_Conv,1.0
PSNG_Air_H2,1.0
PSNG_Air_H2,1.0
PSNG_Rail_Conv,1.0
PSNG_Rail_Conv,1.0
PSNG_Rail_Electric,1.0
PSNG_Rail_Electric,1.0
PSNG_Road_BEV,1.0
PSNG_Road_BEV,1.0
PSNG_Road_H2,1.0
PSNG_Road_H2,1.0
PSNG_Road_ICE,1.0
PSNG_Road_ICE,1.0
PSNG_Road_LNG,1.0
PSNG_Road_LNG,1.0
PSNG_Road_PHEV,1.0
PSNG_Road_PHEV,1.0
R_Coal_Hardcoal,31.536
R_Coal_Hardcoal,31.536
R_Coal_Lignite,31.536
R_Coal_Lignite,31.536
R_Gas,31.536
R_Gas,31.536
R_Nuclear,31.536
R_Nuclear,31.536
R_Oil,31.536
R_Oil,31.536
RES_Biogas,1.0
RES_Biogas,1.0
RES_CSP,31.536
RES_CSP,31.536
RES_Geothermal,31.536
RES_Geothermal,31.536
RES_Grass,1.0
RES_Grass,1.0
RES_Hydro_Large,31.536
RES_Hydro_Large,31.536
RES_Hydro_Small,31.536
RES_Hydro_Small,31.536
RES_Ocean,31.536
RES_Ocean,31.536
RES_Paper_Cardboard,1.0
RES_Paper_Cardboard,1.0
RES_PV_Rooftop_Commercial,31.536
RES_PV_Rooftop_Commercial,31.536
RES_PV_Rooftop_Residential,31.536
RES_PV_Rooftop_Residential,31.536
RES_PV_Utility_Avg,31.536
RES_PV_Utility_Avg,31.536
RES_PV_Utility_Inf,31.536
RES_PV_Utility_Inf,31.536
RES_PV_Utility_Opt,31.536
RES_PV_Utility_Opt,31.536
RES_PV_Utility_Tracking,31.536
RES_PV_Utility_Tracking,31.536
RES_Residues,1.0
RES_Residues,1.0
RES_Roundwood,1.0
RES_Roundwood,1.0
RES_Wind_Offshore_Deep,31.536
RES_Wind_Offshore_Deep,31.536
RES_Wind_Offshore_Shallow,31.536
RES_Wind_Offshore_Shallow,31.536
RES_Wind_Offshore_Transitional,31.536
RES_Wind_Offshore_Transitional,31.536
RES_Wind_Onshore_Avg,31.536
RES_Wind_Onshore_Avg,31.536
RES_Wind_Onshore_Inf,31.536
RES_Wind_Onshore_Inf,31.536
RES_Wind_Onshore_Opt,31.536
RES_Wind_Onshore_Opt,31.536
RES_Wood,1.0
RES_Wood,1.0
X_Alkaline_Electrolysis,31.536
X_Alkaline_Electrolysis,31.536
X_Biofuel,31.536
X_Biofuel,31.536
X_DAC_HT,1.0
X_DAC_HT,1.0
X_DAC_LT,1.0
X_DAC_LT,1.0
X_Electrolysis,31.536
X_Electrolysis,31.536
X_Fuel_Cell,31.536
X_Fuel_Cell,31.536
X_Gasifier,31.536
X_Gasifier,31.536
X_Liquifier,31.536
X_Liquifier,31.536
X_Methanation,31.536
X_Methanation,31.536
X_PEM_Electrolysis,31.536
X_PEM_Electrolysis,31.536
X_Powerfuel,1.0
X_Powerfuel,1.0
X_SMR,31.536
X_SMR,31.536
X_ATR_CCS,31.536
X_ATR_CCS,31.536
X_SOEC_Electrolysis,31.536
X_SOEC_Electrolysis,31.536
Z_ETS_Buy,1.0
Z_ETS_Buy,1.0
Z_ETS_Sell,1.0
Z_ETS_Sell,1.0
Z_Import_Gas,31.536
Z_Import_Gas,31.536
Z_Import_H2,31.536
Z_Import_H2,31.536
Z_Import_Hardcoal,31.536
Z_Import_Hardcoal,31.536
Z_Import_Oil,31.536
Z_Import_Oil,31.536
Z_Import_LNG,31.536
